,sales_agent,product,account,deal_stage,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,time_until_close,manager,regional_office
27,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,0.0,entertainment,1989.0,3838.39,8274.0,United States,0,GTX,5482,121.0,Cara Losch,East
28,Elease Gluck,MG Special,Cheers,Won,58.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,MG,55,114.0,Celia Rouche,West
29,Maureen Marcano,GTX Pro,Labdrill,Won,4899.0,medical,1985.0,2741.37,9226.0,United States,0,GTX,4821,123.0,Summer Sewald,West
30,Rosie Papadopoulos,MG Advanced,Zotware,Lost,0.0,software,1979.0,4478.47,13809.0,United States,0,MG,3393,110.0,Cara Losch,East
31,Versie Hillebrand,MG Special,dambase,Won,67.0,marketing,1995.0,2173.98,2928.0,United States,Inity,MG,55,112.0,Dustin Brinkmann,Central
32,James Ascencio,GTX Pro,Xx-holding,Won,4338.0,finance,1993.0,7537.24,20293.0,United States,0,GTX,4821,114.0,Summer Sewald,West
33,Kary Hendrixson,GTX Basic,Fasehatice,Won,578.0,retail,1990.0,4968.91,7523.0,United States,0,GTX,550,127.0,Summer Sewald,West
34,Reed Clapper,GTX Basic,Acme Corporation,Won,556.0,technolgy,1996.0,1100.04,2822.0,United States,0,GTX,550,109.0,Rocco Neubert,East
35,Rosalina Dieter,GTX Basic,Green-Plus,Won,635.0,services,2003.0,692.19,1922.0,United States,0,GTX,550,111.0,Celia Rouche,West
36,Wilburn Farren,MG Advanced,The New York Inquirer,Won,3045.0,medical,1996.0,439.21,792.0,United States,0,MG,3393,115.0,Cara Losch,East
37,Garret Kinder,GTX Plus Basic,Mathtouch,Won,1233.0,marketing,1984.0,3027.46,9516.0,Jordan,0,GTX,1096,121.0,Cara Losch,East
38,Versie Hillebrand,MG Special,Zumgoity,Won,60.0,medical,1984.0,441.08,1210.0,United States,0,MG,55,116.0,Dustin Brinkmann,Central
39,Anna Snelling,MG Special,Gogozoom,Lost,0.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,55,136.0,Dustin Brinkmann,Central
40,Darcel Schlecht,GTX Basic,Stanredtax,Lost,0.0,finance,1987.0,1698.2,3798.0,United States,0,GTX,550,114.0,Melvin Marxen,Central
41,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,1170.0,marketing,1985.0,375.43,1190.0,United States,0,GTX,1096,126.0,Melvin Marxen,Central
42,Kami Bicknell,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Summer Sewald,West
43,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,1162.0,retail,2007.0,894.33,1635.0,Italy,0,GTX,1096,125.0,Melvin Marxen,Central
44,Cassey Cress,GTX Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,4821,0.0,Rocco Neubert,East
45,Darcel Schlecht,MG Advanced,Conecom,Won,3725.0,technolgy,2005.0,1520.66,1806.0,United States,0,MG,3393,118.0,Melvin Marxen,Central
46,Kary Hendrixson,GTX Basic,Golddex,Won,559.0,finance,2008.0,52.5,165.0,United States,0,GTX,550,135.0,Summer Sewald,West
47,Rosalina Dieter,GTX Basic,Plexzap,Lost,0.0,retail,2001.0,2437.85,4874.0,United States,0,GTX,550,115.0,Celia Rouche,West
48,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,0.0,technolgy,1983.0,1008.06,1238.0,United States,0,GTX,1096,124.0,Melvin Marxen,Central
49,James Ascencio,GTX Plus Pro,Sonron,Won,4667.0,telecommunications,1999.0,1699.85,5108.0,United States,0,GTX,5482,108.0,Summer Sewald,West
50,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,903.0,finance,2006.0,1102.43,1759.0,United States,0,GTX,1096,120.0,Melvin Marxen,Central
51,Maureen Marcano,GTX Plus Basic,Finjob,Won,1180.0,employment,1988.0,2059.9,3644.0,United States,0,GTX,1096,116.0,Summer Sewald,West
52,Niesha Huffines,GTX Basic,Ron-tech,Won,487.0,medical,1992.0,3922.42,6837.0,United States,0,GTX,550,108.0,Melvin Marxen,Central
53,Lajuana Vencill,MG Advanced,Stanredtax,Won,3180.0,finance,1987.0,1698.2,3798.0,United States,0,MG,3393,106.0,Dustin Brinkmann,Central
54,Darcel Schlecht,GTX Pro,Funholding,Lost,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,4821,118.0,Melvin Marxen,Central
55,Darcel Schlecht,MG Advanced,Gogozoom,Won,3563.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,MG,3393,119.0,Melvin Marxen,Central
56,Kami Bicknell,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Summer Sewald,West
57,Boris Faz,GTX Pro,Opentech,Won,4704.0,finance,1994.0,355.23,853.0,United States,0,GTX,4821,123.0,Rocco Neubert,East
58,Donn Cantrell,GTX Plus Pro,Silis,Won,5585.0,medical,1994.0,2818.38,6290.0,United States,0,GTX,5482,114.0,Rocco Neubert,East
59,Elease Gluck,GTK 500,Zoomit,Won,25897.0,entertainment,1992.0,324.19,978.0,United States,0,GTK,26768,109.0,Celia Rouche,West
60,Hayden Neloms,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Celia Rouche,West
61,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,1207.0,marketing,2000.0,2952.73,5107.0,United States,0,GTX,1096,103.0,Summer Sewald,West
62,Lajuana Vencill,MG Advanced,Cancity,Lost,0.0,retail,2001.0,718.62,2448.0,United States,0,MG,3393,108.0,Dustin Brinkmann,Central
63,Lajuana Vencill,GTX Basic,Rangreen,Won,559.0,technolgy,1987.0,2938.67,8775.0,Panama,0,GTX,550,104.0,Dustin Brinkmann,Central
64,Maureen Marcano,GTX Basic,Green-Plus,Engaging,0.0,services,2003.0,692.19,1922.0,United States,0,GTX,550,0.0,Summer Sewald,West
65,Niesha Huffines,GTX Plus Basic,dambase,Won,1033.0,marketing,1995.0,2173.98,2928.0,United States,Inity,GTX,1096,109.0,Melvin Marxen,Central
66,Donn Cantrell,GTX Basic,Kan-code,Won,462.0,software,1982.0,11698.03,34288.0,United States,0,GTX,550,120.0,Rocco Neubert,East
67,Hayden Neloms,MG Advanced,Nam-zim,Lost,0.0,services,1987.0,405.59,1179.0,Brazil,Warephase,MG,3393,100.0,Celia Rouche,West
68,Kary Hendrixson,GTX Pro,Y-corporation,Won,5539.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,4821,113.0,Summer Sewald,West
69,Lajuana Vencill,MG Advanced,Ron-tech,Won,3573.0,medical,1992.0,3922.42,6837.0,United States,0,MG,3393,114.0,Dustin Brinkmann,Central
70,Marty Freudenburg,GTX Pro,Conecom,Won,4926.0,technolgy,2005.0,1520.66,1806.0,United States,0,GTX,4821,100.0,Melvin Marxen,Central
71,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,0.0,marketing,2008.0,894.37,1593.0,Poland,0,GTX,1096,116.0,Summer Sewald,West
72,Corliss Cosme,MG Special,Bioplex,Won,62.0,medical,1991.0,326.82,1016.0,United States,0,MG,55,102.0,Cara Losch,East
73,Darcel Schlecht,GTX Pro,Gogozoom,Won,4359.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,GTX,4821,112.0,Melvin Marxen,Central
74,Kami Bicknell,GTX Basic,Plusstrip,Won,566.0,entertainment,2002.0,349.81,315.0,United States,0,GTX,550,129.0,Summer Sewald,West
75,Marty Freudenburg,GTX Basic,Toughzap,Won,508.0,retail,1995.0,332.43,799.0,United States,0,GTX,550,101.0,Melvin Marxen,Central
76,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,0.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,3393,118.0,Cara Losch,East
77,Versie Hillebrand,MG Special,Codehow,Won,51.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,MG,55,109.0,Dustin Brinkmann,Central
78,Vicki Laflamme,GTX Pro,Dalttechnology,Won,4899.0,software,2013.0,98.79,96.0,United States,Bubba Gump,GTX,4821,103.0,Celia Rouche,West
79,Corliss Cosme,GTX Basic,Cheers,Engaging,0.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,0.0,Cara Losch,East
80,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,5790.0,employment,1997.0,882.12,2769.0,United States,0,GTX,5482,100.0,Cara Losch,East
81,Donn Cantrell,MG Special,Kinnamplus,Lost,0.0,retail,2004.0,702.72,1831.0,United States,0,MG,55,127.0,Rocco Neubert,East
82,Elease Gluck,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Celia Rouche,West
83,Gladys Colclough,GTX Pro,Codehow,Won,4438.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,4821,100.0,Melvin Marxen,Central
84,Gladys Colclough,MG Advanced,Finhigh,Won,2972.0,finance,2006.0,1102.43,1759.0,United States,0,MG,3393,114.0,Melvin Marxen,Central
85,Markita Hansen,MG Special,Lexiqvolax,Engaging,0.0,medical,2004.0,1618.89,3889.0,United States,0,MG,55,0.0,Celia Rouche,West
86,Markita Hansen,GTX Basic,Y-corporation,Won,523.0,employment,1983.0,2871.35,9561.0,United States,0,GTX,550,98.0,Celia Rouche,West
87,Anna Snelling,MG Advanced,Statholdings,Won,3647.0,employment,1997.0,291.27,586.0,United States,0,MG,3393,121.0,Dustin Brinkmann,Central
88,Cassey Cress,MG Advanced,Umbrella Corporation,Won,4200.0,finance,1998.0,2022.14,5113.0,United States,0,MG,3393,97.0,Rocco Neubert,East
89,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,0.0,retail,1989.0,1388.67,3583.0,United States,0,GTX,1096,0.0,Rocco Neubert,East
90,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,0.0,software,2002.0,987.39,2253.0,United States,0,GTX,1096,0.0,Summer Sewald,West
91,Kami Bicknell,GTX Plus Basic,Faxquote,Won,1059.0,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,GTX,1096,124.0,Summer Sewald,West
92,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,0.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,1096,101.0,Melvin Marxen,Central
93,Versie Hillebrand,MG Special,Dontechi,Won,57.0,software,1982.0,4618.0,10083.0,United States,0,MG,55,98.0,Dustin Brinkmann,Central
94,Vicki Laflamme,MG Advanced,Konex,Won,3671.0,technolgy,1980.0,7708.38,13756.0,United States,0,MG,3393,123.0,Celia Rouche,West
95,Anna Snelling,MG Special,Treequote,Won,58.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,55,96.0,Dustin Brinkmann,Central
96,Cecily Lampkin,MG Advanced,Treequote,Won,3956.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,3393,101.0,Dustin Brinkmann,Central
97,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,5964.0,medical,1999.0,251.41,495.0,United States,0,GTX,5482,96.0,Cara Losch,East
98,Corliss Cosme,GTX Pro,Betasoloin,Won,4570.0,medical,1999.0,251.41,495.0,United States,0,GTX,4821,101.0,Cara Losch,East
99,Darcel Schlecht,MG Special,Domzoom,Won,49.0,entertainment,1998.0,217.87,551.0,United States,0,MG,55,122.0,Melvin Marxen,Central
100,Violet Mclelland,MG Special,Donquadtech,Won,65.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,MG,55,101.0,Cara Losch,East
101,Anna Snelling,MG Special,Domzoom,Lost,0.0,entertainment,1998.0,217.87,551.0,United States,0,MG,55,121.0,Dustin Brinkmann,Central
102,Darcel Schlecht,GTX Pro,Finhigh,Won,4739.0,finance,2006.0,1102.43,1759.0,United States,0,GTX,4821,102.0,Melvin Marxen,Central
103,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,1080.0,technolgy,2000.0,1223.72,2497.0,Norway,0,GTX,1096,115.0,Melvin Marxen,Central
104,Reed Clapper,MG Special,Plussunin,Won,57.0,retail,2003.0,1419.98,4018.0,United States,0,MG,55,106.0,Rocco Neubert,East
105,Garret Kinder,GTX Basic,Konex,Won,469.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,550,109.0,Cara Losch,East
106,Kary Hendrixson,GTX Basic,Condax,Won,532.0,medical,2017.0,4.54,9.0,United States,0,GTX,550,96.0,Summer Sewald,West
107,Markita Hansen,MG Advanced,Opentech,Engaging,0.0,finance,1994.0,355.23,853.0,United States,0,MG,3393,0.0,Celia Rouche,West
108,Rosalina Dieter,GTX Basic,Konex,Won,538.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,550,119.0,Celia Rouche,West
109,Rosie Papadopoulos,GTX Pro,Massive Dynamic,Won,4829.0,entertainment,1989.0,665.06,1095.0,United States,0,GTX,4821,114.0,Cara Losch,East
110,Zane Levy,GTX Plus Pro,Doncon,Won,5370.0,technolgy,2010.0,587.72,1501.0,United States,0,GTX,5482,104.0,Summer Sewald,West
111,Zane Levy,GTX Plus Pro,Hatfan,Won,6499.0,services,1982.0,792.46,1299.0,United States,0,GTX,5482,114.0,Summer Sewald,West
112,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,1161.0,retail,2007.0,894.33,1635.0,Italy,0,GTX,1096,98.0,Melvin Marxen,Central
113,Kary Hendrixson,GTX Basic,Scotfind,Won,576.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550,118.0,Summer Sewald,West
114,Maureen Marcano,GTX Plus Basic,Hatfan,Won,979.0,services,1982.0,792.46,1299.0,United States,0,GTX,1096,111.0,Summer Sewald,West
115,Versie Hillebrand,MG Special,Stanredtax,Won,43.0,finance,1987.0,1698.2,3798.0,United States,0,MG,55,99.0,Dustin Brinkmann,Central
116,Gladys Colclough,MG Special,Scottech,Won,57.0,marketing,2012.0,45.39,100.0,United States,Inity,MG,55,98.0,Melvin Marxen,Central
117,Lajuana Vencill,MG Special,Ron-tech,Lost,0.0,medical,1992.0,3922.42,6837.0,United States,0,MG,55,119.0,Dustin Brinkmann,Central
118,Lajuana Vencill,GTX Plus Basic,Funholding,Won,948.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,1096,103.0,Dustin Brinkmann,Central
119,Wilburn Farren,MG Advanced,Plussunin,Won,3012.0,retail,2003.0,1419.98,4018.0,United States,0,MG,3393,101.0,Cara Losch,East
120,Cassey Cress,MG Advanced,Zotware,Won,3665.0,software,1979.0,4478.47,13809.0,United States,0,MG,3393,105.0,Rocco Neubert,East
121,Violet Mclelland,GTX Basic,Gekko & Co,Won,564.0,retail,1990.0,2520.83,3502.0,United States,0,GTX,550,114.0,Cara Losch,East
122,Anna Snelling,GTX Plus Basic,dambase,Lost,0.0,marketing,1995.0,2173.98,2928.0,United States,Inity,GTX,1096,95.0,Dustin Brinkmann,Central
123,Cassey Cress,MG Advanced,Initech,Won,3463.0,telecommunications,1994.0,6395.05,20275.0,United States,0,MG,3393,111.0,Rocco Neubert,East
124,Corliss Cosme,GTX Basic,Gekko & Co,Won,513.0,retail,1990.0,2520.83,3502.0,United States,0,GTX,550,115.0,Cara Losch,East
125,Corliss Cosme,GTX Basic,Konex,Won,590.0,technolgy,1980.0,7708.38,13756.0,United States,0,GTX,550,117.0,Cara Losch,East
126,Darcel Schlecht,GTX Pro,Dontechi,Won,4511.0,software,1982.0,4618.0,10083.0,United States,0,GTX,4821,119.0,Melvin Marxen,Central
127,Lajuana Vencill,MG Advanced,Finhigh,Lost,0.0,finance,2006.0,1102.43,1759.0,United States,0,MG,3393,91.0,Dustin Brinkmann,Central
128,Niesha Huffines,GTX Basic,Cancity,Won,546.0,retail,2001.0,718.62,2448.0,United States,0,GTX,550,115.0,Melvin Marxen,Central
129,Vicki Laflamme,MG Special,Y-corporation,Won,46.0,employment,1983.0,2871.35,9561.0,United States,0,MG,55,94.0,Celia Rouche,West
130,Darcel Schlecht,GTX Pro,Ron-tech,Won,4891.0,medical,1992.0,3922.42,6837.0,United States,0,GTX,4821,97.0,Melvin Marxen,Central
131,Hayden Neloms,GTX Plus Basic,Golddex,Won,1040.0,finance,2008.0,52.5,165.0,United States,0,GTX,1096,91.0,Celia Rouche,West
132,Hayden Neloms,GTX Plus Basic,Sonron,Won,1108.0,telecommunications,1999.0,1699.85,5108.0,United States,0,GTX,1096,92.0,Celia Rouche,West
133,Hayden Neloms,MG Special,Nam-zim,Won,59.0,services,1987.0,405.59,1179.0,Brazil,Warephase,MG,55,92.0,Celia Rouche,West
134,Jonathan Berthelot,GTX Pro,Statholdings,Won,5406.0,employment,1997.0,291.27,586.0,United States,0,GTX,4821,118.0,Melvin Marxen,Central
135,Kary Hendrixson,GTX Basic,Cheers,Won,515.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,108.0,Summer Sewald,West
136,Moses Frase,GTX Basic,Treequote,Won,583.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,GTX,550,94.0,Dustin Brinkmann,Central
137,Versie Hillebrand,MG Special,Funholding,Won,54.0,finance,1991.0,2819.5,7227.0,United States,Golddex,MG,55,102.0,Dustin Brinkmann,Central
138,Vicki Laflamme,MG Special,Plusstrip,Won,60.0,entertainment,2002.0,349.81,315.0,United States,0,MG,55,115.0,Celia Rouche,West
139,Zane Levy,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Summer Sewald,West
140,Darcel Schlecht,GTX Basic,Dontechi,Lost,0.0,software,1982.0,4618.0,10083.0,United States,0,GTX,550,99.0,Melvin Marxen,Central
141,Darcel Schlecht,GTX Pro,Funholding,Lost,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,4821,106.0,Melvin Marxen,Central
142,Darcel Schlecht,GTX Basic,Globex Corporation,Won,516.0,technolgy,2000.0,1223.72,2497.0,Norway,0,GTX,550,110.0,Melvin Marxen,Central
143,Darcel Schlecht,GTX Pro,Rangreen,Won,4829.0,technolgy,1987.0,2938.67,8775.0,Panama,0,GTX,4821,109.0,Melvin Marxen,Central
144,Moses Frase,GTX Plus Basic,Dontechi,Lost,0.0,software,1982.0,4618.0,10083.0,United States,0,GTX,1096,104.0,Dustin Brinkmann,Central
145,Reed Clapper,GTX Plus Basic,Donquadtech,Won,950.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,GTX,1096,89.0,Rocco Neubert,East
146,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,0.0,finance,1993.0,7537.24,20293.0,United States,0,GTX,1096,96.0,Celia Rouche,West
147,Corliss Cosme,GTX Basic,Initech,Won,513.0,telecommunications,1994.0,6395.05,20275.0,United States,0,GTX,550,106.0,Cara Losch,East
148,Darcel Schlecht,GTX Pro,Condax,Lost,0.0,medical,2017.0,4.54,9.0,United States,0,GTX,4821,95.0,Melvin Marxen,Central
149,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,5522.0,medical,1992.0,3922.42,6837.0,United States,0,GTX,5482,98.0,Melvin Marxen,Central
150,Gladys Colclough,MG Special,Cancity,Won,56.0,retail,2001.0,718.62,2448.0,United States,0,MG,55,95.0,Melvin Marxen,Central
151,James Ascencio,GTX Pro,Doncon,Won,5673.0,technolgy,2010.0,587.72,1501.0,United States,0,GTX,4821,94.0,Summer Sewald,West
152,Kami Bicknell,GTX Basic,Xx-holding,Won,598.0,finance,1993.0,7537.24,20293.0,United States,0,GTX,550,96.0,Summer Sewald,West
153,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,5787.0,technolgy,1987.0,2938.67,8775.0,Panama,0,GTX,5482,102.0,Melvin Marxen,Central
154,Maureen Marcano,GTX Plus Basic,Singletechno,Won,1070.0,retail,1996.0,2214.94,5374.0,United States,0,GTX,1096,94.0,Summer Sewald,West
155,Boris Faz,MG Advanced,Donquadtech,Won,3677.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,MG,3393,99.0,Rocco Neubert,East
156,Cassey Cress,GTX Plus Pro,Ontomedia,Won,5425.0,employment,1997.0,882.12,2769.0,United States,0,GTX,5482,115.0,Rocco Neubert,East
157,Daniell Hammack,GTX Plus Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,5482,0.0,Rocco Neubert,East
158,Donn Cantrell,MG Advanced,Yearin,Won,3415.0,retail,2005.0,2261.05,3851.0,United States,0,MG,3393,108.0,Rocco Neubert,East
159,James Ascencio,GTX Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,550,0.0,Summer Sewald,West
160,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,891.0,medical,2004.0,1618.89,3889.0,United States,0,GTX,1096,106.0,Summer Sewald,West
161,Lajuana Vencill,GTX Basic,Codehow,Won,609.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,550,96.0,Dustin Brinkmann,Central
162,Markita Hansen,MG Special,Plusstrip,Won,54.0,entertainment,2002.0,349.81,315.0,United States,0,MG,55,100.0,Celia Rouche,West
163,Zane Levy,GTX Plus Basic,Labdrill,Won,1049.0,medical,1985.0,2741.37,9226.0,United States,0,GTX,1096,93.0,Summer Sewald,West
164,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,1152.0,retail,1990.0,2520.83,3502.0,United States,0,GTX,1096,90.0,Rocco Neubert,East
165,Daniell Hammack,MG Special,Plussunin,Lost,0.0,retail,2003.0,1419.98,4018.0,United States,0,MG,55,103.0,Rocco Neubert,East
166,Daniell Hammack,GTX Pro,Umbrella Corporation,Won,4799.0,finance,1998.0,2022.14,5113.0,United States,0,GTX,4821,111.0,Rocco Neubert,East
167,Gladys Colclough,MG Special,dambase,Won,51.0,marketing,1995.0,2173.98,2928.0,United States,Inity,MG,55,95.0,Melvin Marxen,Central
168,Hayden Neloms,MG Advanced,J-Texon,Won,3426.0,retail,1989.0,1388.67,3583.0,United States,0,MG,3393,86.0,Celia Rouche,West
169,Jonathan Berthelot,MG Special,Rangreen,Won,51.0,technolgy,1987.0,2938.67,8775.0,Panama,0,MG,55,94.0,Melvin Marxen,Central
170,Kami Bicknell,GTX Basic,Finjob,Won,564.0,employment,1988.0,2059.9,3644.0,United States,0,GTX,550,103.0,Summer Sewald,West
171,Cecily Lampkin,GTX Plus Pro,Isdom,Won,5882.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,5482,83.0,Dustin Brinkmann,Central
172,Daniell Hammack,GTX Pro,Stanredtax,Engaging,0.0,finance,1987.0,1698.2,3798.0,United States,0,GTX,4821,0.0,Rocco Neubert,East
173,Donn Cantrell,GTX Pro,Plussunin,Won,5059.0,retail,2003.0,1419.98,4018.0,United States,0,GTX,4821,102.0,Rocco Neubert,East
174,James Ascencio,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Summer Sewald,West
175,Kami Bicknell,GTX Plus Basic,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,1096,0.0,Summer Sewald,West
176,Kami Bicknell,MG Advanced,Singletechno,Won,3388.0,retail,1996.0,2214.94,5374.0,United States,0,MG,3393,93.0,Summer Sewald,West
177,Kary Hendrixson,GTX Plus Pro,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,GTX,5482,0.0,Summer Sewald,West
178,Markita Hansen,GTX Plus Pro,Zoomit,Won,5410.0,entertainment,1992.0,324.19,978.0,United States,0,GTX,5482,92.0,Celia Rouche,West
